date,ticker,adj_close
2023-01-03,AAPL,123.21121978759766
2023-01-04,AAPL,124.48204040527344
2023-01-05,AAPL,123.16194152832031
2023-01-06,AAPL,127.6935806274414
2023-01-09,AAPL,128.21566772460938
2023-01-10,AAPL,128.78709411621094
2023-01-11,AAPL,131.50607299804688
2023-01-12,AAPL,131.42727661132812
2023-01-13,AAPL,132.75717163085938
2023-01-17,AAPL,133.91964721679688
2023-01-18,AAPL,133.20050048828125
2023-01-19,AAPL,133.25961303710938
2023-01-20,AAPL,135.82095336914062
2023-01-23,AAPL,139.0128173828125
2023-01-24,AAPL,140.41171264648438
2023-01-25,AAPL,139.75167846679688
2023-01-26,AAPL,141.8204803466797
2023-01-27,AAPL,143.7611541748047
2023-01-30,AAPL,140.87472534179688
2023-01-31,AAPL,142.14553833007812
2023-02-01,AAPL,143.2686004638672
2023-02-02,AAPL,148.57852172851562
2023-02-03,AAPL,152.20382690429688
2023-02-06,AAPL,149.47500610351562
2023-02-07,AAPL,152.35157775878906
2023-02-08,AAPL,149.66217041015625
2023-02-09,AAPL,148.6277618408203
2023-02-10,AAPL,148.9927978515625
2023-02-13,AAPL,151.79489135742188
2023-02-14,AAPL,151.15354919433594
2023-02-15,AAPL,153.25515747070312
2023-02-16,AAPL,151.65675354003906
2023-02-17,AAPL,150.5122528076172
2023-02-21,AAPL,146.49659729003906
2023-02-22,AAPL,146.9208984375
2023-02-23,AAPL,147.40432739257812
2023-02-24,AAPL,144.75025939941406
2023-02-27,AAPL,145.94412231445312
2023-02-28,AAPL,145.44091796875
2023-03-01,AAPL,143.36895751953125
2023-03-02,AAPL,143.9609832763672
2023-03-03,AAPL,149.01258850097656
2023-03-06,AAPL,151.7751922607422
2023-03-07,AAPL,149.57493591308594
2023-03-08,AAPL,150.82798767089844
2023-03-09,AAPL,148.57843017578125
2023-03-10,AAPL,146.516357421875
2023-03-13,AAPL,148.4600372314453
2023-03-14,AAPL,150.55174255371094
2023-03-15,AAPL,150.94638061523438
2023-03-16,AAPL,153.7681884765625
2023-03-17,AAPL,152.9295196533203
2023-03-20,AAPL,155.29747009277344
2023-03-21,AAPL,157.15235900878906
2023-03-22,AAPL,155.72169494628906
2023-03-23,AAPL,156.80706787109375
2023-03-24,AAPL,158.10939025878906
2023-03-27,AAPL,156.16574096679688
2023-03-28,AAPL,155.5441436767578
2023-03-29,AAPL,158.62246704101562
2023-03-30,AAPL,160.19122314453125
2023-03-31,AAPL,162.697265625
2023-04-03,AAPL,163.9503173828125
2023-04-04,AAPL,163.41754150390625
2023-04-05,AAPL,161.572509765625
2023-04-06,AAPL,162.4604949951172
2023-04-10,AAPL,159.86561584472656
2023-04-11,AAPL,158.6520538330078
2023-04-12,AAPL,157.96144104003906
2023-04-13,AAPL,163.3484649658203
2023-04-14,AAPL,163.00315856933594
2023-04-17,AAPL,163.02288818359375
2023-04-18,AAPL,164.24630737304688
2023-04-19,AAPL,165.3908233642578
2023-04-20,AAPL,164.42393493652344
2023-04-21,AAPL,162.81570434570312
2023-04-24,AAPL,163.12152099609375
2023-04-25,AAPL,161.5823974609375
2023-04-26,AAPL,161.572509765625
2023-04-27,AAPL,166.16038513183594
2023-04-28,AAPL,167.41343688964844
2023-05-01,AAPL,167.3246307373047
2023-05-02,AAPL,166.2886505126953
2023-05-03,AAPL,165.21322631835938
2023-05-04,AAPL,163.5753936767578
2023-05-05,AAPL,171.25148010253906
2023-05-08,AAPL,171.18240356445312
2023-05-09,AAPL,169.47552490234375
2023-05-10,AAPL,171.24159240722656
2023-05-11,AAPL,171.4290771484375
2023-05-12,AAPL,170.50033569335938
2023-05-15,AAPL,170.00636291503906
2023-05-16,AAPL,170.00636291503906
2023-05-17,AAPL,170.61886596679688
2023-05-18,AAPL,172.9506072998047
2023-05-19,AAPL,173.0592803955078
2023-05-22,AAPL,172.1107940673828
2023-05-23,AAPL,169.50242614746094
2023-05-24,AAPL,169.77906799316406
2023-05-25,AAPL,170.9153289794922
2023-05-26,AAPL,173.3260498046875
2023-05-30,AAPL,175.1736297607422
2023-05-31,AAPL,175.1242218017578
